text,class_name
Taylor Swift is awesome, positive
Taylor Swift is not awesome, negative
Taylor Swift tells amazing stories, positive
Taylor Swift tells bad stories, negative
Coffee is awesome, positive
Coffee is not awesome, negative
Taylor Swift is bad, negative
Taylor Swift is good, positive
Taylor Swift is amazing, positive
Taylor Swift is not amazing, negative
Taylor Swift is terrific, positive
Taylor Swift is not terrific, negative
Taylor Swift is generic, negative
Taylor Swift is lyrical, positive
Coffee is amazing, positive
Coffee is yucky, negative
Coffee is good, positive
This is good, positive
Music is good, positive
This music is good, positive
Taylor Swift is amazing, positive
Coffee is not good, negative
Coffee is not coffee, positive
Coffee is not good really, negative
Coffee is really not good, negative
Coffee is terrible, negative
Coffee is not yucky, positive
This coffee should win an award, positive
Winning is great when it comes to coffee, positive
The coffee beans are generic, negative
The coffee beans are not generic but tasty, positive
The coffee is tasty, positive
